group_size,batch_prompts,algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction
4,32,grpo,11,44,1408,0,0.9702815982182009,0.9729445119019537,0.14196036034904538,0.9566519283190644,0.016573699573379966,0.0,0.03125,0.0005883753202393122,0.84375
4,32,grpo,12,48,1536,0,0.974585730747245,0.9770212692446477,0.1240426929378468,0.9745695957302631,0.02182758471444417,0.0,0.0078125,0.00041903196781188477,0.875
4,32,grpo,13,52,1664,0,0.9782164241804012,0.980392364868705,0.10872045185842816,0.9898918368096818,0.02112219090544501,0.0,0.0234375,0.0003349611402932285,0.875
4,32,grpo,14,56,1792,0,0.9808584895379766,0.9828685766674858,0.09702488969086784,1.001587398977242,0.025601150632627898,0.0,0.0078125,0.00023283429286066398,0.9375
4,32,grpo,15,60,1920,0,0.9824779597055897,0.9843914407787377,0.0895936376978832,1.0090186509702268,0.03054874991111164,0.0,0.0,0.00010363454630098168,1.0
4,32,grpo,16,64,2048,0,0.9839142030288325,0.9856644952590261,0.08332188117195187,1.015290407496158,0.02731301333724781,0.0,0.0,6.987110155825953e-05,0.90625
4,32,grpo,17,68,2176,0,0.985322632974484,0.9868904054603064,0.07728117717555211,1.0213311114925574,0.028187263168497265,0.0,0.0,6.500102357875068e-05,0.9375
4,32,grpo,18,72,2304,0,0.9866431641523645,0.9880754857610672,0.07149393479959096,1.027118353868519,0.02887542799529191,0.0,0.0,6.52551151498252e-05,0.9375
4,32,grpo,19,76,2432,0,0.987858414738825,0.9892225103186292,0.06587404765348287,1.032738241014627,0.027953862261175126,0.0,0.0,7.637415588893542e-05,0.9375
4,32,grpo,20,80,2560,0,0.9888437818429683,0.9901580751612593,0.0610753413372376,1.0375369473308722,0.02865408059524254,0.0,0.0,5.626051276688998e-05,0.9375
4,32,grpo,21,84,2688,0,0.9894893545579415,0.9907673818908966,0.0578424382525841,1.0407698504155256,0.03123529671035231,0.0,0.0,2.8583960011479736e-05,1.0
4,32,grpo,22,88,2816,0,0.9898677614676195,0.9911248207479433,0.05591583227560133,1.0426964563925085,0.031013003724474075,0.0,0.0,1.0845035441357841e-05,1.0
4,32,grpo,23,92,2944,0,0.9901649284377678,0.9914099174844412,0.05433652422580826,1.0442757644423017,0.03036606661447516,0.0,0.0,9.215573240527138e-06,0.96875
4,32,grpo,24,96,3072,0,0.9903692940712673,0.9916077110250467,0.05321592635722505,1.0453963623108846,0.03131094643032167,0.0,0.0,6.310368597890986e-06,1.0
4,32,grpo,25,100,3200,0,0.9906927296093376,0.9919263109681928,0.05149501966444586,1.0471172690036639,0.029769355702139382,0.0,0.0,1.1420147027246452e-05,0.9375
4,32,grpo,26,104,3328,0,0.9909792039036127,0.9922104742996555,0.049958762461490704,1.048653526206619,0.031487089461733085,0.0,0.0,1.0550157973599051e-05,1.0
4,32,grpo,27,108,3456,0,0.9911422800689199,0.9923742594379432,0.04906152759969151,1.0495507610684183,0.03156289958057312,0.0,0.0,4.040482097811035e-06,1.0
4,32,grpo,28,112,3584,0,0.9912286413371546,0.9924635522224828,0.04856569955338742,1.0500465891147224,0.03152727679501611,0.0,0.0,1.5185458747381987e-06,1.0
4,32,grpo,29,116,3712,0,0.9915311332787526,0.9927788546437644,0.04692719015504615,1.0516850985130635,0.028806824546409215,0.0,0.0,2.1438344990992595e-05,0.9375
4,32,grpo,30,120,3840,0,0.9918106939061959,0.9930679585298691,0.045394333212995755,1.053217955455114,0.03159854479336802,0.0,0.0,2.177460899863018e-05,1.0
4,32,grpo,31,124,3968,0,0.9920976771830855,0.9933277773392406,0.043993229297035204,1.0546190593710747,0.030754596365241436,0.0,0.0,1.6472486332622795e-05,0.96875
4,32,grpo,32,128,4096,0,0.9923167795188379,0.9935172108831578,0.04295373284130223,1.0556585558268077,0.03158047699489832,0.0,0.0,1.0112210056979796e-05,1.0
4,32,grpo,33,132,4224,0,0.9924339002768288,0.9936190754044455,0.0423844907818976,1.056227797886212,0.03169552557135834,0.0,0.0,3.92835150167379e-06,1.0
4,32,grpo,34,136,4352,0,0.9924917113602625,0.9936700179200727,0.04209481945063655,1.0565174692174732,0.031758732482894896,0.0,0.0,1.5667184859348976e-06,1.0
4,32,grpo,35,140,4480,0,0.9926235077042254,0.9937731966770449,0.0415102009925483,1.0571020876755615,0.03100342207608034,0.0,0.0,5.154130350067663e-06,0.96875
